adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy
H,Ag6Cd6,0.57755999,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.235,11.635,1.93,7.576234,1.302,266.3,-4.28071607353275,1.05666507744366,0.987096603967556,8.012
H,Ag6Cd6,0.637607623,bridge|A_B|A,L1_o,"['Ag', 'Cd']","[10, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.235,11.635,1.8060177186284745,8.285027,0.651,186.3,-6.50017296518545,2.41636157729446,0.992149446143572,8.012
H,Ag6Cd6,0.631048183,bridge|A_B|B,L1_o,"['Ag', 'Cd']","[9, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.235,11.635,1.8060177186284745,8.285027,0.651,186.3,-6.50018497454503,2.4163263385913,0.992150342807831,8.012
H,Ag6Cd6,0.517986107,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Cd']","[9, 10, 11]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.846433938850996,8.048762666666665,0.868,212.96666666666664,-5.76140554557419,2.31535720616326,0.990466635339644,8.012
H,Ag6Cd6,0.532293989,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Cd']","[9, 10, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.846433938850996,8.048762666666665,0.868,212.96666666666664,-5.76143073300212,2.31537196872805,0.990466642529368,8.012
H,Ag6Cd6,0.611268228,hollow|A_B_B|HCP,L1_o,"['Ag', 'Cd', 'Cd']","[10, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.7664861609019706,8.521291333333332,0.434,159.63333333333333,-7.23870692348101,2.28593816451072,0.99382730982574,8.012
H,Ag6Cd6,0.622470474,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.7664861609019706,8.521291333333332,0.434,159.63333333333333,-7.2387128712805,2.28591147741807,0.993827899913004,8.012
H,Ag6Co6,0.790869756,top|A,L1_o,['Ag'],[12],"['Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,329.62,8.469999999999999,1.93,7.576234,1.302,266.3,-4.11499770992687,1.46079725789525,0.988674280432796,13.028
H,Ag6Co6,0.502743378,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.469999999999999,1.93,7.576234,1.302,266.3,-4.11504631989281,1.46057279565954,0.988681948297444,13.028
H,Ag6Co6,-0.236969792,bridge|B_B|A,L1_o,"['Co', 'Co']","[9, 10]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.469999999999999,1.88,7.88101,0.662,391.2,-2.40330856779523,1.56977753324522,0.979498048355667,13.028
H,Ag6Co6,0.044001488,hollow|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,-3.54540009308819,1.70090803786339,0.985634782358645,13.028
H,Ag6Co6,0.074852122,hollow|A_A_B|FCC,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,-3.54470350003765,1.70160688778538,0.985611785104148,13.028
H,Ag6Co6,0.044630071,hollow-tilt|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,-3.54540009308819,1.70090803786339,0.985634782358645,13.028
H,Ag6Cu6,0.837703269,top|A,L1_o,['Ag'],[12],"['Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,385.01,8.69,1.93,7.576234,1.302,266.3,-4.16966328877007,1.22791634575257,0.98440312290053,3.905
H,Ag6Cu6,0.494698197,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.93,7.576234,1.302,266.3,-4.16966855091814,1.22793934917353,0.984402667472855,3.905
H,Ag6Cu6,0.077060734,bridge|B_B|A,L1_o,"['Cu', 'Cu']","[9, 10]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.9,7.72638,1.235,313.1,-2.19062925502775,0.956398565298057,0.981300698686754,3.905
H,Ag6Cu6,0.254191877,bridge|A_B|B,L1_o,"['Cu', 'Ag']","[9, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.9149412523625888,7.651307,1.2685,289.70000000000005,-3.17961047813135,1.47994165112339,0.982849115432309,3.905
H,Ag6Cu6,0.194425202,hollow|A_A_B|HCP,L1_o,"['Cu', 'Ag', 'Ag']","[10, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.9199477343990152,7.626282666666666,1.2796666666666665,281.9,-3.50936063495182,1.4767121112693,0.983367863530106,3.905
H,Ag6Cu6,0.184468556,hollow|A_A_B|FCC,L1_o,"['Cu', 'Ag', 'Ag']","[9, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.9199477343990152,7.626282666666666,1.2796666666666665,281.9,-3.50937414610046,1.47670175491843,0.983368029565328,3.905
H,Ag6Cu6,0.07342298,hollow|A_B_B|HCP,L1_o,"['Cu', 'Cu', 'Ag']","[9, 10, 11]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.909947825297364,7.676331333333334,1.2573333333333334,297.5,-2.84979061114766,1.40792997013894,0.982332207319895,3.905
H,Ag6Cu6,0.051979866,hollow|A_B_B|FCC,L1_o,"['Cu', 'Cu', 'Ag']","[9, 10, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.909947825297364,7.676331333333334,1.2573333333333334,297.5,-2.84978534906098,1.40792417173835,0.982332406816202,3.905
H,Ag6Fe6,0.273434679,top|B,L1_o,['Fe'],[10],"['Fe', 'Fe', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,347.59,8.68,1.83,7.9024681,0.151,360.8,-2.63184225998812,0.929101064391769,0.992557803405206,10.143
H,Ag6Fe6,-0.302025952,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,347.59,8.68,1.93,7.576234,1.302,266.3,-4.34902809610196,0.977372644669184,0.99588191982762,10.143
H,Ag6Fe6,-0.278377219,bridge|B_B|A,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,347.59,8.68,1.83,7.9024681,0.151,360.8,-2.63155837453624,0.929115029829289,0.992554831107253,10.143
H,Ag6Fe6,0.074597696,hollow|A_A_B|HCP,L1_o,"['Fe', 'Ag', 'Ag']","[10, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.8960737945071329,7.684978699999999,0.9183333333333332,297.8,-3.77745772916484,1.25675751597998,0.994774745890976,10.143
H,Ag6Fe6,0.020086219,hollow|A_A_B|FCC,L1_o,"['Fe', 'Ag', 'Ag']","[9, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.8960737945071329,7.684978699999999,0.9183333333333332,297.8,-3.7772912079954,1.25692713743164,0.994773020413157,10.143
H,Ag6Fe6,-0.307076657,hollow|A_B_B|HCP,L1_o,"['Fe', 'Fe', 'Ag']","[9, 10, 11]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.862743955552682,7.793723399999999,0.5346666666666666,329.3,-3.20489412095818,1.24496900932166,0.993665566687514,10.143
H,Ag6Fe6,0.019930842,hollow|A_B_B|FCC,L1_o,"['Fe', 'Fe', 'Ag']","[9, 10, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.862743955552682,7.793723399999999,0.5346666666666666,329.3,-3.20489213634918,1.24497246635927,0.99366504304572,10.143
H,Ag6Hf6,0.063516132,top|B,L1_o,['Hf'],[11],"['Ag', 'Ag', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 8, 9, 10, 11, 12]",1,364.085,11.855,1.3,6.82507,0.014,655.5,-0.225293261856502,3.96683718064186,0.422359961272145,14.21
H,Ag6Hf6,-0.787843034,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.93,7.576234,1.302,266.3,-4.62609654865905,1.70587095066773,0.982969625797478,14.21
H,Ag6Hf6,-0.788540189,bridge|B_B|A,L1_o,"['Hf', 'Hf']","[11, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.3,6.82507,0.014,655.5,-0.224949800234501,3.96660111108574,0.422309206168512,14.21
H,Ag6Hf6,0.033081015,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Hf']","[9, 10, 11]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.691814164732478,7.325846,0.8726666666666666,396.0333333333333,-3.5283674224797,3.12010633888296,0.843128249813047,14.21
H,Ag6Hf6,-0.095206101,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Hf']","[9, 10, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.691814164732478,7.325846,0.8726666666666666,396.0333333333333,-3.52802740631829,3.12035705289175,0.843081479971427,14.21
H,Ag6Hg6,0.927720839,top|A,L1_o,['Ag'],[9],"['Ag', 'Hg', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[6, 7, 8, 9, 10, 11, 12]",1,354.515,12.18,1.93,7.576234,1.302,266.3,-4.0531975353013,0.992035779236325,0.989517252770574,4.656
H,Ag6Hg6,1.146822276,top|B,L1_o,['Hg'],[11],"['Ag', 'Ag', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[5, 6, 8, 9, 10, 11, 12]",1,354.515,12.18,2.0,10.437504,0.0,61.49,-6.59113196910917,0.898750336029385,0.99518430171125,4.656
H,Ag6Hg6,0.889111287,hollow|A_B_B|HCP,L1_o,"['Ag', 'Hg', 'Hg']","[10, 11, 12]","['Ag', 'Ag', 'Hg', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[5, 6, 7, 8, 9, 10, 11, 12]",3,354.515,12.18,1.9763890244674789,9.483747333333334,0.434,129.76,-5.7464613228309,1.51549825458308,0.993297898267177,4.656
H,Ag6Hg6,0.875933902,hollow|A_B_B|FCC,L1_o,"['Ag', 'Hg', 'Hg']","[9, 11, 12]","['Ag', 'Ag', 'Hg', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[5, 6, 7, 8, 9, 10, 11, 12]",3,354.515,12.18,1.9763890244674789,9.483747333333334,0.434,129.76,-5.74645352323767,1.51549328551863,0.993298146040411,4.656
H,Ag6Ir6,-0.315647971,bridge|B_B|A,L1_o,"['Ir', 'Ir']","[11, 12]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",2,396.215,9.395,2.2,8.96702,1.5638,586.0,-1.6669280868789,1.92629224493724,0.808669260888165,21.28
H,Ag6Ir6,0.079700783,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Ir']","[9, 10, 12]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,396.215,9.395,2.0161016866278105,8.039829333333333,1.3892666666666664,372.8666666666666,-3.09578557797222,1.78927090555249,0.927276172779733,21.28
H,Ag6Ir6,-0.225326449,top-tilt|A,L1_o,['Ag'],[9],"['Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[6, 7, 8, 9, 10, 11, 12]",1,396.215,9.395,1.93,7.576234,1.302,266.3,-3.79395863747645,1.21151353034201,0.98522848990299,21.28
H,Ag6Ir6,-0.22643817,top-tilt|B,L1_o,['Ir'],[11],"['Ag', 'Ag', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 8, 9, 10, 11, 12]",1,396.215,9.395,2.2,8.96702,1.5638,586.0,-1.66689492031884,1.9263067395478,0.80866190628868,21.28
H,Ag6Ir6,-0.221626245,hollow-tilt|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Ir']","[9, 10, 11]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,396.215,9.395,2.0161016866278105,8.039829333333333,1.3892666666666664,372.8666666666666,-3.09575434577456,1.7893113394473,0.92727114635409,21.28
H,Ag6La6,0.447233244,top|A,L1_o,['Ag'],[12],"['La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 7, 8, 9, 10, 11, 12]",1,392.865,16.33,1.93,7.576234,1.302,266.3,-4.63234328473233,1.58584589566158,0.991739356959827,11.0
H,Ag6La6,0.291687803,top|B,L1_o,['La'],[10],"['La', 'La', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,392.865,16.33,1.1,5.5769,0.47,406.2,-0.601611690175221,2.83108534804993,0.470485230763912,11.0
H,Ag6La6,-0.557652414,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,392.865,16.33,1.93,7.576234,1.302,266.3,-4.63231803588354,1.58581542079487,0.991742284895008,11.0
H,Ag6La6,-0.552784569,bridge|B_B|A,L1_o,"['La', 'La']","[9, 10]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,392.865,16.33,1.1,5.5769,0.47,406.2,-0.601534043839162,2.83099416242148,0.47046046207397,11.0
H,Ag6La6,-0.20130111,4fold|A_A_B_B,L1_o,"['La', 'La', 'Ag', 'Ag']","[9, 10, 11, 12]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",5,392.865,16.33,1.4570518178843197,6.576567,0.886,336.25,-3.51108134259978,2.70314452416356,0.846740788959578,11.0
H,Ag6Mn6,3.749002425,top|A,L1_o,['Ag'],[12],"['Mn', 'Ag', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,649.89,8.809999999999999,1.93,7.576234,1.302,266.3,-4.66441724806331,1.45163789760787,0.996481304410866,4.8068
H,Ag6Mn6,3.026536918,top|B,L1_o,['Mn'],[10],"['Mn', 'Mn', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,649.89,8.809999999999999,1.55,7.434038,0.0,233.2,-3.10708453535446,1.02709697824752,0.993760276329456,4.8068
H,Ag6Mn6,2.448340998,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Mn', 'Mn', 'Ag', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,649.89,8.809999999999999,1.93,7.576234,1.302,266.3,-4.66442246370257,1.45168721060041,0.9964810050285,4.8068
H,Ag6Mn6,2.436977796,bridge|B_B|A,L1_o,"['Mn', 'Mn']","[9, 10]","['Mn', 'Mn', 'Ag', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,649.89,8.809999999999999,1.55,7.434038,0.0,233.2,-3.10709766988367,1.02707901201159,0.993760689052794,4.8068
H,Ag6Mo6,0.540172501,top|A,L1_o,['Ag'],[12],"['Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,361.615,9.825,1.93,7.576234,1.302,266.3,-4.03176654662584,1.65024300173201,0.985109189262842,15.52
H,Ag6Mo6,-0.616801254,bridge|B_B|A,L1_o,"['Mo', 'Mo']","[9, 10]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,361.615,9.825,2.16,7.09243,0.748,636.0,-0.642507938652478,3.64070164106448,0.565569669445393,15.52
H,Ag6Mo6,-0.296937832,hollow|A_A_B|FCC,L1_o,"['Mo', 'Ag', 'Ag']","[9, 11, 12]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.0038080780024066,7.414966,1.1173333333333333,389.5333333333333,-2.99182715465073,2.89777747069172,0.856374371918763,15.52
H,Ag6Mo6,-0.251448425,hollow|A_B_B|HCP,L1_o,"['Mo', 'Mo', 'Ag']","[9, 10, 11]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.0804387634547665,7.253698,0.9326666666666666,512.7666666666667,-1.86595675941116,3.4789659756709,0.7170154320316,15.52
H,Ag6Mo6,-0.602948211,hollow|A_B_B|FCC,L1_o,"['Mo', 'Mo', 'Ag']","[9, 10, 12]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.0804387634547665,7.253698,0.9326666666666666,512.7666666666667,-1.86596592866937,3.47896780075746,0.717015859974334,15.52
H,Ag6Nb6,-0.659415914,bridge|B_B|A,L1_o,"['Nb', 'Nb']","[9, 10]","['Nb', 'Nb', 'Ag', 'Ag', 'Nb', 'Nb', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,369.285,10.55,1.6,6.75885,0.916,716.8,-0.452977269495362,3.59111049756187,0.522957924666842,10.67
H,Ag6Nb6,-0.157808611,hollow|A_A_B|HCP,L1_o,"['Nb', 'Ag', 'Ag']","[10, 11, 12]","['Nb', 'Nb', 'Ag', 'Ag', 'Nb', 'Nb', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,369.285,10.55,1.8130573157349712,7.303772666666667,1.1733333333333331,416.4666666666666,-3.27953627203069,2.96617441441598,0.854832342047876,10.67
H,Ag6Nb6,-0.133594153,hollow|A_A_B|FCC,L1_o,"['Nb', 'Ag', 'Ag']","[9, 11, 12]","['Nb', 'Nb', 'Ag', 'Ag', 'Nb', 'Nb', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,369.285,10.55,1.8130573157349712,7.303772666666667,1.1733333333333331,416.4666666666666,-3.2793919203372,2.96628066685808,0.854811668731633,10.67
H,Ag6Ni6,-0.290750099,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Ni', 'Ni', 'Ag', 'Ag', 'Ni', 'Ni', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,380.465,8.43,1.93,7.576234,1.302,266.3,-3.96414521214544,1.24269700946802,0.984255121946539,9.276
H,Ag6Ni6,-0.291363444,bridge|B_B|A,L1_o,"['Ni', 'Ni']","[9, 10]","['Ni', 'Ni', 'Ag', 'Ag', 'Ni', 'Ni', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,380.465,8.43,1.91,7.639878,1.156,395.2,-1.14967102669748,1.10636320736419,0.949890105885248,9.276
H,Ag6Ni6,0.024687256,hollow|A_A_B|FCC,L1_o,"['Ni', 'Ag', 'Ag']","[9, 11, 12]","['Ni', 'Ni', 'Ag', 'Ag', 'Ni', 'Ni', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,380.465,8.43,1.923310171626264,7.597448666666667,1.2533333333333334,309.26666666666665,-3.02992298134227,1.78736633726285,0.972845387191032,9.276
H,Ag6Ni6,0.079099683,hollow-tilt|A_A_B|HCP,L1_o,"['Ni', 'Ag', 'Ag']","[10, 11, 12]","['Ni', 'Ni', 'Ag', 'Ag', 'Ni', 'Ni', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,380.465,8.43,1.923310171626264,7.597448666666667,1.2533333333333334,309.26666666666665,-3.02998762385273,1.78729323181477,0.972851030538449,9.276
