surface,LC,MV,EA,SE,DBC,DBF,DOS,CN,GCN,RxnE
Ag6Ir6,396.215,9.395,1.38926666666667,372.866666666667,-3.095754346,0.927271146,21.28,3,7.5,3.12616242
Ag6La6,392.865,16.33,0.47,406.2,-0.60161169,0.470485231,11,1,7.5,5.766888718
Ag6La6,392.865,16.33,0.747333333333333,359.566666666667,-2.877829251,0.764844986,11,3,6.95454545454545,2.805203603
Ag6La6,392.865,16.33,0.886,336.25,-3.511081343,0.846740789,11,5,7.615384615,1.917778197
Ag6Mn6,649.89,8.81,0,233.2,-1.225618267,0.51389172,4.8068,2,7.33,3.62682576
Ag6Mo6,361.615,9.825,1.11733333333333,389.533333333333,-2.991993427,0.856405119,15.52,3,7.5,3.189311198
Ag6Mo6,361.615,9.825,1.11733333333333,389.533333333333,-2.991827155,0.856374372,15.52,3,6.95454545454545,2.919558491
Ag6Mo6,361.615,9.825,0.932666666666666,512.766666666667,-1.865956759,0.717015432,15.52,3,7.5,1.836787187
Ag6Mo6,361.615,9.825,0.932666666666666,512.766666666667,-1.865965929,0.71701586,15.52,3,6.95454545454545,1.929447935
Ag6Mo6,361.615,9.825,1.11733333333333,389.533333333333,-2.991827155,0.856374372,15.52,3,6.95454545454545,2.91946298
Ag6Nb6,369.285,10.55,1.17333333333333,416.466666666667,-3.279536272,0.854832342,10.67,3,7.5,3.395911317
Ag6Nb6,369.285,10.55,1.17333333333333,416.466666666667,-3.27939192,0.854811669,10.67,3,6.95454545454545,3.373781115
Ag6Nb6,369.285,10.55,1.04466666666667,566.633333333333,-1.996539288,0.704179326,10.67,3,7.5,2.097416461
Ag6Nb6,369.285,10.55,1.04466666666667,566.633333333333,-1.996541086,0.704179929,10.67,3,6.95454545454545,2.128556624
Ag6Ni6,380.465,8.43,1.156,395.2,-0.920123825,0.475793285,9.276,2,7.33,2.543948195
Ag6Ni6,380.465,8.43,1.25333333333333,309.266666666667,-2.954088451,0.486713903,9.276,3,6.95454545454545,4.164549237
Ag6Ni6,380.465,8.43,1.25333333333333,309.266666666667,-2.954082733,0.486714831,9.276,3,7.5,4.149397938
Ag6Os6,340.985,9.345,1.1,661,-1.624866736,0.6994805,8.452,1,7.5,3.875474542
Ag6Os6,340.985,9.345,1.1,661,-1.625562052,0.699476326,8.452,2,7.33,2.434752313
Ag6Os6,340.985,9.345,1.23466666666667,397.866666666667,-3.209606538,0.891422406,8.452,3,6.95454545454545,3.930431878
Ag6Pd6,398.8,9.415,1.302,266.3,-3.533080415,0.986249993,2.146,1,7.5,7.029893944
Ag6Pd6,398.8,9.415,0.562,396.7,-1.408819223,0.943049323,2.146,2,7.33,3.440907517
Ag6Pd6,398.8,9.415,1.05533333333333,309.766666666667,-2.827955297,0.971910199,2.146,3,7.5,4.602759457
Ag6Pd6,398.8,9.415,1.05533333333333,309.766666666667,-2.82795677,0.971910049,2.146,3,6.95454545454545,4.541566089
Ag6Pd6,398.8,9.415,0.808666666666666,353.233333333333,-2.119857797,0.95751042,2.146,3,7.5,3.373778258
Ag6Pt6,400.475,9.68,1.302,266.3,-3.569569492,0.984667054,4.655,1,7.5,7.272798539
Ag6Pt6,400.475,9.68,2.128,510,-1.728603472,0.917447519,4.655,2,7.33,2.499578673
Ag6Pt6,400.475,9.68,1.57733333333333,347.533333333333,-2.95991529,0.962408737,4.655,3,6.95454545454545,4.062552534
Ag6Pt6,400.475,9.68,1.85266666666667,428.766666666667,-2.346302569,0.940007788,4.655,3,7.5,2.495111516
Ag6Pt6,400.475,9.68,1.85266666666667,428.766666666667,-2.346294788,0.94000718,4.655,3,6.95454545454545,2.498024631
Ag6Pt6,400.475,9.68,1.57733333333333,347.533333333333,-2.959939418,0.962410274,4.655,3,7.5,4.070313629
Ag6Re6,342.315,9.565,0.15,738,-0.895992586,0.627753805,22.25,2,7.33,1.434722255
Ag6Re6,342.315,9.565,0.534,580.766666666667,-1.945361225,0.750515248,22.25,3,6.95454545454545,1.517061182
Ag6Re6,342.315,9.565,0.918,423.533333333333,-2.960065325,0.869217355,22.25,3,6.95454545454545,2.865587569
Ag6Rh6,394.435,9.275,1.137,516.7,-1.248226509,0.839658407,27.47,2,7.33,1.907733523
Ag6Rh6,394.435,9.275,1.247,349.766666666667,-2.910288226,0.937343401,27.47,3,6.95454545454545,3.538365089
Ag6Rh6,394.435,9.275,1.247,349.766666666667,-2.910268644,0.937339449,27.47,3,7.5,3.440840986
Ag6Ru6,339.56,9.22,1.05,605.7,-1.352425108,0.713795946,13.38,1,7.5,3.344863305
Ag6Ru6,339.56,9.22,1.05,605.7,-1.352322888,0.713778939,13.38,2,7.33,2.11848365
Ag6Ru6,339.56,9.22,1.134,492.566666666667,-2.213346858,0.805442463,13.38,3,6.95454545454545,2.117695881
Ag6Ru6,339.56,9.22,1.218,379.433333333333,-3.064790929,0.896074225,13.38,3,6.95454545454545,3.348749499
Ag6Sc6,369.715,12.635,0.559333333333333,311.433333333333,-2.282993786,0.611317115,19.02,3,7.5,2.723424823
Ag6Sc6,369.715,12.635,0.745,300.15,-3.106486359,0.731857235,19.02,5,7.615384615,1.677475011
Ag6Ta6,369.33,10.56,0.975333333333333,434.533333333333,-3.00798947,0.797910285,6.743,3,7.5,3.430066502
Ag6Ta6,369.33,10.56,0.975333333333333,434.533333333333,-3.008344118,0.797949365,6.743,3,6.95454545454545,3.440241247
Ag6Ta6,369.33,10.56,0.648666666666667,602.766666666667,-1.439522817,0.612170805,6.743,3,7.5,1.793768166
Ag6Ta6,369.33,10.56,0.648666666666667,602.766666666667,-1.439499436,0.612168253,6.743,3,6.95454545454545,1.763020254
Ag6Tc6,341.015,9.45,0.55,573,-0.899835265,0.641062473,9.099,2,7.33,1.942400146
Ag6Tc6,341.015,9.45,0.800666666666667,470.766666666667,-1.932774444,0.759260151,9.099,3,6.95454545454545,1.95520283
Ag6Tc6,341.015,9.45,1.05133333333333,368.533333333333,-2.93673867,0.874122093,9.099,3,6.95454545454545,2.964223665
Ag6Ti6,351.805,10.455,0.894333333333333,325.433333333333,-3.41737331,0.843958054,26.85,3,7.5,3.727911697
Ag6Ti6,351.805,10.455,0.894333333333333,325.433333333333,-3.417338499,0.843953617,26.85,3,6.95454545454545,3.489275072
Ag6Ti6,351.805,10.455,0.486666666666667,384.566666666667,-1.969583907,0.66275032,26.85,3,7.5,2.041283185
Ag6Ti6,351.805,10.455,0.486666666666667,384.566666666667,-1.969607835,0.662753162,26.85,3,6.95454545454545,2.212329591
Ag6V6,355.765,9.295,0.525,475.8,-0.354375246,0.529882707,22.89,2,7.33,2.044353718
Ag6V6,355.765,9.295,1.043,336.133333333333,-3.253486358,0.863090838,22.89,3,7.5,3.338592714
Ag6V6,355.765,9.295,0.784,405.966666666667,-1.949394296,0.713207064,22.89,3,7.5,1.993154955
Ag6V6,355.765,9.295,1.043,336.133333333333,-3.25358021,0.863109948,22.89,3,6.95454545454545,3.242404962
Ag6W6,362.525,9.87,1.14008666666667,455.866666666667,-3.108068856,0.85453764,22.34,3,7.5,3.113981108
Ag6W6,362.525,9.87,1.14008666666667,455.866666666667,-3.108059415,0.854537909,22.34,3,6.95454545454545,2.9551669
Ag6W6,362.525,9.87,0.978173333333333,645.433333333333,-1.965734921,0.714845232,22.34,3,7.5,1.599692766
Ag6W6,362.525,9.87,0.978173333333333,645.433333333333,-1.965739275,0.714845473,22.34,3,6.95454545454545,1.563092911
Ag6Y6,386.635,15.075,1.302,266.3,-4.770110433,0.986198507,8.812,1,7.5,5.783039763
Ag6Y6,386.635,15.075,0.307,391.4,-0.055289811,0.314134059,8.812,1,7.5,6.011974578
Ag6Y6,386.635,15.075,0.307,391.4,-0.056268904,0.314308393,8.812,2,7.33,2.860196858
Ag6Y6,386.635,15.075,0.638666666666667,349.7,-2.357019845,0.642239611,8.812,3,6.95454545454545,3.006130829
Ag6Y6,386.635,15.075,0.8045,328.85,-3.148480651,0.755056087,8.812,5,7.615384615,1.843642143
Ag6Zn6,337.51,9.715,0,126.35,-7.122105307,0.997780353,3.599,2,7.33,3.950400135
Ag6Zn6,337.51,9.715,0.651,196.325,-5.762847097,0.990681613,3.599,5,7.615384615,5.081134361
Ag6Zr6,365.865,12.145,1.01,377.866666666667,-3.442807148,0.84897484,19.31,3,7.5,3.787972936
Ag6Zr6,365.865,12.145,1.01,377.866666666667,-3.442478073,0.848923215,19.31,3,6.95454545454545,3.650004009
Ag6Zr6,365.865,12.145,0.718,489.433333333333,-2.05058128,0.675258298,19.31,3,7.5,2.175398028
Ag6Zr6,365.865,12.145,0.718,489.433333333333,-2.050575483,0.675258626,19.31,3,6.95454545454545,2.335432939
Au12,407.82,10.21,2.30863,342.5,-3.239426153,0.974485182,1.182,1,7.5,6.525164134
Au12,407.82,10.21,2.30863,342.5,-3.239449459,0.974489352,1.182,3,7.5,4.896599954
Au12,407.82,10.21,2.30863,342.5,-3.239430288,0.97448698,1.182,3,6.95454545454545,4.7414235
Au6Cd6,352.88,11.605,2.30863,342.5,-3.606229575,0.97948399,1.166,2,7.33,4.577755189
Au6Cd6,352.88,11.605,0.769543333333333,185.033333333333,-6.961471799,0.991402144,1.166,3,7.5,5.336980418
Au6Co6,329.265,8.44,0.662,391.2,-1.431780002,0.492800818,9.621,1,7.5,4.107061106
Au6Co6,329.265,8.44,0.662,391.2,-1.431682418,0.492799193,9.621,2,7.33,2.670142893
Au6Co6,329.265,8.44,1.75975333333333,358.733333333333,-2.996437821,0.491176414,9.621,3,6.95454545454545,3.692672275
Au6Co6,329.265,8.44,1.75975333333333,358.733333333333,-2.99651241,0.491178021,9.621,3,7.5,3.721917574
Au6Cr6,349.41,8.72,1.21354333333333,353.833333333333,-1.891774716,0.732185394,22.12,3,6.95454545454545,2.722000035
Au6Cu6,384.655,8.66,1.235,313.1,-2.109825709,0.97875592,3.059,2,7.33,4.393660381
Au6Cu6,384.655,8.66,1.95075333333333,332.7,-3.090140423,0.975496611,3.059,3,7.5,4.774783976
Au6Cu6,384.655,8.66,1.95075333333333,332.7,-3.0901497,0.975496613,3.059,3,6.95454545454545,4.695627013
Au6Cu6,384.655,8.66,1.59287666666667,322.9,-2.599119575,0.977127962,3.059,3,6.95454545454545,4.85933478
Au6Fe6,347.235,8.65,0.151,360.8,-1.418647339,0.512569511,11.347,2,7.33,2.855930113
Au6Fe6,347.235,8.65,1.58942,348.6,-3.126346317,0.500592626,11.347,3,7.5,3.770444179
Au6Fe6,347.235,8.65,1.58942,348.6,-3.126253715,0.500588568,11.347,3,6.95454545454545,3.663073909
Au6Hf6,363.73,11.825,0.778876666666667,551.166666666667,-2.148102542,0.657804468,16.17,3,7.5,2.119875921
Au6Hf6,363.73,11.825,0.778876666666667,551.166666666667,-2.148081731,0.657796566,16.17,3,6.95454545454545,2.151416228
Au6Ir6,395.86,9.365,2.06035333333333,423.666666666667,-2.789526892,0.915563851,22.26,3,6.95454545454545,3.363898485
Au6La6,392.51,16.3,1.08287666666667,384.966666666667,-2.827602848,0.760981496,10.76,3,6.95454545454545,3.13598641
Au6La6,392.51,16.3,1.389315,374.35,-3.385087124,0.841877999,10.76,5,7.615384615,2.502123618
Au6Mn6,649.535,8.78,0,233.2,-1.20324684,0.513745201,4.6373,2,7.33,4.14713572
Au6Mo6,361.26,9.795,1.78842,440.333333333333,-2.903690529,0.8428221,14.49,3,7.5,3.260197534
Au6Mo6,361.26,9.795,1.78842,440.333333333333,-2.903643265,0.842806713,14.49,3,6.95454545454545,2.978262698
Au6Mo6,361.26,9.795,1.26821,538.166666666667,-1.857966163,0.706946469,14.49,3,7.5,1.750476895
Au6Mo6,361.26,9.795,1.26821,538.166666666667,-1.85797835,0.706946124,14.49,3,6.95454545454545,2.011049025
Au6Nb6,368.93,10.52,1.84442,467.266666666667,-3.220864604,0.842957309,8.329,3,6.95454545454545,3.449734482
Au6Nb6,368.93,10.52,1.38021,592.033333333333,-2.027373911,0.69527739,8.329,3,7.5,2.011710398
Au6Nb6,368.93,10.52,1.38021,592.033333333333,-2.027360745,0.695275857,8.329,3,6.95454545454545,2.174260729
Au6Ni6,380.11,8.4,1.156,395.2,-0.921301604,0.474653459,20.238,2,7.33,2.659127452
Au6Ni6,380.11,8.4,1.92442,360.066666666667,-2.634161912,0.482913526,20.238,3,7.5,3.872778711
Au6Ni6,380.11,8.4,1.92442,360.066666666667,-2.634302889,0.482907377,20.238,3,6.95454545454545,3.846388566
Au6Pd6,398.445,9.385,2.30863,342.5,-2.934442897,0.974936721,11.87,2,7.33,4.848521112
Au6Pd6,398.445,9.385,1.72642,360.566666666667,-2.431799662,0.963238572,11.87,3,7.5,4.071214462
Au6Pd6,398.445,9.385,1.72642,360.566666666667,-2.431818275,0.963240105,11.87,3,6.95454545454545,3.982553379
Au6Pd6,398.445,9.385,1.14421,378.633333333333,-1.928386048,0.951518064,11.87,3,7.5,3.356649236
Au6Pd6,398.445,9.385,1.14421,378.633333333333,-1.92841096,0.951519695,11.87,3,6.95454545454545,3.340832483
Au6Pt6,400.12,9.65,2.24842,398.333333333333,-2.612607692,0.951770276,9.496,3,7.5,3.771930465
Au6Pt6,400.12,9.65,2.24842,398.333333333333,-2.612593098,0.951768179,9.496,3,6.95454545454545,3.655307235
Au6Pt6,400.12,9.65,2.18821,454.166666666667,-2.184600858,0.932029548,9.496,3,7.5,2.623943949
Au6Pt6,400.12,9.65,2.18821,454.166666666667,-2.184613883,0.932030068,9.496,3,6.95454545454545,2.642833956
Au6Re6,341.96,9.535,1.58908666666667,474.333333333333,-2.752556316,0.85898788,16.22,3,6.95454545454545,4.063611601
Au6Rh6,394.08,9.245,1.91808666666667,400.566666666667,-2.590850382,0.92441109,25.29,3,7.5,3.318976164
Au6Rh6,394.08,9.245,1.91808666666667,400.566666666667,-2.590779975,0.924408419,25.29,3,6.95454545454545,3.33130673
Au6Rh6,394.08,9.245,1.52754333333333,458.633333333333,-1.926285669,0.875995147,25.29,3,7.5,1.984283228
Au6Rh6,394.08,9.245,1.52754333333333,458.633333333333,-1.926311391,0.875994656,25.29,3,6.95454545454545,2.041484006
Au6Ru6,339.205,9.19,1.05,605.7,-1.436821935,0.708558068,12.3,2,7.33,2.567540193
Au6Ru6,339.205,9.19,1.46954333333333,517.966666666667,-2.106792022,0.797118519,12.3,3,6.95454545454545,2.567829858
Au6Sc6,369.36,12.605,0.188,334,-0.100357983,0.282256128,6.881,2,7.33,2.992041999
Au6Sc6,369.36,12.605,0.894876666666666,336.833333333333,-2.179406237,0.609165408,6.881,3,6.95454545454545,2.868203807
Au6Sc6,369.36,12.605,1.248315,338.25,-2.931098137,0.727351077,6.881,5,7.615384615,2.019211488
Au6Ta6,368.975,10.53,1.64642,485.333333333333,-2.906513412,0.785083713,7.511,3,7.5,3.598553405
Au6Ta6,368.975,10.53,1.64642,485.333333333333,-2.906461622,0.785077413,7.511,3,6.95454545454545,3.478301945
Au6Ta6,368.975,10.53,0.98421,628.166666666667,-1.446446225,0.604751566,7.511,3,7.5,1.80674786
Au6Ta6,368.975,10.53,0.98421,628.166666666667,-1.44640964,0.604748055,7.511,3,6.95454545454545,1.890731306
Au6Tc6,340.66,9.42,0.55,573,-1.025627901,0.629648178,11.48,2,7.33,2.999451115
Au6Tc6,340.66,9.42,1.13621,496.166666666667,-1.855998635,0.746766467,11.48,3,7.5,2.898255651
Au6Tc6,340.66,9.42,1.72242,419.333333333333,-2.664980705,0.860867696,11.48,3,6.95454545454545,3.908092148
Au6Ti6,351.45,10.425,1.56542,376.233333333333,-3.265614009,0.834735369,27.63,3,7.5,3.786971965
Au6Ti6,351.45,10.425,1.56542,376.233333333333,-3.265644268,0.83473908,27.63,3,6.95454545454545,3.62321685
Au6Ti6,351.45,10.425,0.82221,409.966666666667,-1.920210337,0.655110718,27.63,3,7.5,2.146440354
Au6Ti6,351.45,10.425,0.82221,409.966666666667,-1.920147906,0.655105325,27.63,3,6.95454545454545,2.241769859
Au6V6,355.41,9.265,1.71408666666667,386.933333333333,-3.167132,0.84209989,23.72,3,6.95454545454545,3.321192939
Au6V6,355.41,9.265,1.11954333333333,431.366666666667,-1.907299787,0.686279595,23.72,3,7.5,1.997783611
Au6V6,355.41,9.265,1.11954333333333,431.366666666667,-1.90731619,0.686278713,23.72,3,6.95454545454545,2.100642779
Au6W6,362.17,9.84,0.81626,835,-0.834943758,0.552315906,12.39,2,7.33,1.719576192
Au6W6,362.17,9.84,1.81117333333333,506.666666666667,-3.091823373,0.838500231,12.39,3,7.5,3.245683526
Au6W6,362.17,9.84,1.81117333333333,506.666666666667,-3.091765182,0.838492323,12.39,3,6.95454545454545,3.005873137
Au6W6,362.17,9.84,1.31371666666667,670.833333333333,-2.021873867,0.702821227,12.39,3,7.5,1.532117784
Au6W6,362.17,9.84,1.31371666666667,670.833333333333,-2.021883484,0.702822491,12.39,3,6.95454545454545,1.684496772
Au6Y6,386.28,15.045,0.307,391.4,-0.202833634,0.328828918,10.27,1,7.5,6.301029544
Au6Y6,386.28,15.045,0.97421,375.1,-2.284332071,0.645739102,10.27,3,7.5,3.416674011
Au6Y6,386.28,15.045,0.97421,375.1,-2.284353681,0.645741743,10.27,3,6.95454545454545,3.151344651
Au6Y6,386.28,15.045,1.307815,366.95,-2.999292952,0.754591393,10.27,5,7.615384615,2.355027584
Au6Zn6,337.155,9.685,0,126.35,-7.102217726,0.997700516,3.224,2,7.33,4.147175856
Au6Zn6,337.155,9.685,1.53908666666667,270.45,-4.932866633,0.982192297,3.224,3,6.95454545454545,4.820968905
Au6Zr6,365.51,12.115,1.05354333333333,514.833333333333,-2.010459759,0.667815273,17.63,3,7.5,2.249844565
Cd12,297.94,13,0,106.3,-8.882171164,0.997127358,5.874,3,7.5,5.363709208
Cd12,297.94,13,0,106.3,-8.882184464,0.99712752,5.874,3,6.95454545454545,5.458832723
Cd6Co6,274.325,9.835,0.662,391.2,-1.314399024,0.489917078,15.75,2,7.33,2.339204845
Cd6Co6,274.325,9.835,0.220666666666667,201.266666666667,-6.218238588,0.495691077,15.75,3,6.95454545454545,3.946202099
Cd6Cu6,329.715,10.055,1.235,313.1,-2.481359542,0.981120432,2.47,2,7.33,3.628236398
Cd6Cu6,329.715,10.055,0.411666666666667,175.233333333333,-6.590122461,0.991245472,2.47,3,6.95454545454545,5.105211402
Cd6Fe6,292.295,10.045,0.151,360.8,-1.153067754,0.504456633,7.565,2,7.33,2.384112336
Cd6Fe6,292.295,10.045,0.050333333333333,191.133333333333,-6.195384661,0.500951619,7.565,3,6.95454545454545,3.682758896
Cd6Fe6,292.295,10.045,0.050333333333333,191.133333333333,-6.195398802,0.500953062,7.565,3,7.5,3.628797225
Cd6Hf6,308.79,13.22,0.004666666666667,289.366666666667,-6.447134027,0.852289245,19.77,3,7.5,3.721574302
Cd6Hf6,308.79,13.22,0.004666666666667,289.366666666667,-6.446941418,0.852266436,19.77,3,6.95454545454545,3.592888539
Cd6Hf6,308.79,13.22,0.009333333333333,472.433333333333,-3.741434613,0.66810453,19.77,3,7.5,1.844507192
Cd6Hf6,308.79,13.22,0.009333333333333,472.433333333333,-3.74149576,0.668108528,19.77,3,6.95454545454545,1.892816106
Cd6Hg6,299.22,13.545,0,91.3633333333333,-7.822421151,0.997720046,2.402,3,7.5,4.98544553
Cd6Hg6,299.22,13.545,0,91.3633333333333,-7.822409539,0.997719868,2.402,3,6.95454545454545,5.045343772
Cd6Ir6,340.92,10.76,1.5638,586,-1.527138562,0.837894833,15.17,2,7.33,1.615074818
Cd6Ir6,340.92,10.76,1.5638,586,-1.527082417,0.83789256,15.17,1,7.5,3.179521359
Cd6La6,337.57,17.695,0.47,406.2,-0.531633142,0.500253985,15.01,1,7.5,5.838837114
Cd6La6,337.57,17.695,0.313333333333333,306.233333333333,-5.113899947,0.779793084,15.01,3,7.5,2.837542564
Cd6La6,337.57,17.695,0.235,256.25,-6.402298698,0.858329346,15.01,5,7.615384615,1.922794344
Cd6Mn6,594.595,10.175,0,233.2,-1.022815569,0.510954783,10.86,2,7.33,2.722961821
Cd6Mo6,306.32,11.19,0.748,636,-0.545494902,0.567162722,11.07,2,7.33,1.940358884
Cd6Mo6,306.32,11.19,0.748,636,-0.545494902,0.567162722,11.07,2,7.33,2.002342199
Cd6Mo6,306.32,11.19,0.249333333333333,282.866666666667,-6.042911711,0.862719036,11.07,3,6.95454545454545,3.158017563
Cd6Nb6,313.99,11.915,0.305333333333333,309.8,-6.12462731,0.856302489,12.28,3,7.5,3.471302225
Cd6Nb6,313.99,11.915,0.305333333333333,309.8,-6.125626278,0.856400065,12.28,3,6.95454545454545,3.311658886
Cd6Nb6,313.99,11.915,0.610666666666667,513.3,-3.426167265,0.694129252,12.28,3,7.5,2.063188758
Cd6Nb6,313.99,11.915,0.610666666666667,513.3,-3.426154855,0.694129711,12.28,3,6.95454545454545,1.928084101
Cd6Nb6,313.99,11.915,0.305333333333333,309.8,-6.125626278,0.856400065,12.28,3,6.95454545454545,3.478986448
Cd6Ni6,325.17,9.795,1.156,395.2,-0.927818906,0.458058229,5.39,2,7.33,2.707291194
Cd6Ni6,325.17,9.795,0.385333333333333,202.6,-5.9790526,0.484824003,5.39,3,6.95454545454545,4.430241461
Cd6Os6,285.69,10.71,1.1,661,-1.544590212,0.71017435,18.39,1,7.5,3.414860237
Cd6Os6,285.69,10.71,1.1,661,-1.544485728,0.710172721,18.39,2,7.33,1.993177405
Cd6Pd6,343.505,10.78,0.562,396.7,-1.971751142,0.947424886,5.866,2,7.33,4.242661011
Cd6Pd6,343.505,10.78,0.187333333333333,203.1,-6.325498997,0.980592473,5.866,3,7.5,5.147967833
Cd6Pd6,343.505,10.78,0.187333333333333,203.1,-6.325506854,0.980592832,5.866,3,6.95454545454545,5.078012263
Cd6Pt6,345.18,11.045,2.128,510,-1.893255884,0.928366026,7.281,2,7.33,3.265591918
Cd6Pt6,345.18,11.045,0.709333333333333,240.866666666667,-6.223600834,0.974025792,7.281,3,6.95454545454545,4.436984986
Cd6Re6,287.02,10.93,0.15,738,-0.933612796,0.637021668,10.74,1,7.5,3.172004486
Cd6Re6,287.02,10.93,0.15,738,-0.934194144,0.637090896,10.74,2,7.33,1.714999509
Cd6Re6,287.02,10.93,0.05,316.866666666667,-6.168592002,0.881350739,10.74,3,6.95454545454545,3.133274523
Cd6Rh6,339.14,10.64,1.137,516.7,-0.880516089,0.874318376,12.2,1,7.5,3.382512704
Cd6Rh6,339.14,10.64,1.137,516.7,-0.880597419,0.874326284,12.2,2,7.33,1.717168664
Cd6Ru6,284.265,10.585,1.05,605.7,-1.31264803,0.72748712,6.669,2,7.33,1.96858498
Cd6Ru6,284.265,10.585,1.05,605.7,-1.312184123,0.727408157,6.669,1,7.5,3.157523404
Cd6Sc6,314.42,14,0.188,334,0.168106871,0.291176464,13.8,2,7.33,2.445798638
Cd6Sc6,314.42,14,0.094,220.15,-5.41047498,0.737541469,13.8,5,7.615384615,1.61568272
Cd6Ta6,314.035,11.925,0.107333333333333,327.866666666667,-5.689626185,0.817243454,13.93,3,7.5,3.351637716
Cd6Ta6,314.035,11.925,0.107333333333333,327.866666666667,-5.689598033,0.817240884,13.93,3,6.95454545454545,3.347027971
Cd6Ta6,314.035,11.925,0.214666666666667,549.433333333333,-2.799910441,0.629034669,13.93,3,7.5,1.733068548
Cd6Ta6,314.035,11.925,0.214666666666667,549.433333333333,-2.799865312,0.629031932,13.93,3,6.95454545454545,1.540139428
Cd6Tc6,285.72,10.815,0.55,573,-0.965179253,0.640160511,15.74,2,7.33,2.203771474
Cd6Tc6,285.72,10.815,0.55,573,-0.965179253,0.640160511,15.74,2,7.33,2.194605592
Cd6Tc6,285.72,10.815,0.183333333333333,261.866666666667,-6.152166157,0.881807265,15.74,3,6.95454545454545,3.387464496
Cd6Ti6,296.51,11.82,0.079,443.7,0.006545481,0.413848732,17.08,2,7.33,1.893439247
Cd6Ti6,296.51,11.82,0.026333333333333,218.766666666667,-6.366764715,0.84737728,17.08,3,7.5,3.665469327
Cd6Ti6,296.51,11.82,0.052666666666667,331.233333333333,-3.594825174,0.658834015,17.08,3,7.5,1.825249424
Cd6Ti6,296.51,11.82,0.026333333333333,218.766666666667,-6.367322007,0.847478854,17.08,3,6.95454545454545,3.414167299
Cd6V6,300.47,10.66,0.525,475.8,-0.177528055,0.502404353,19.87,2,7.33,1.876658259
Cd6V6,300.47,10.66,0.175,229.466666666667,-6.196970098,0.857727593,19.87,3,6.95454545454545,3.270706706
